Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36750.39809,NA,NA,NA
AFE,2554.595257,2495.966953,2421.787983,2397.01279,2389.705309,2421.864802,2478.836897,2491.423363,2471.243461,2463.627383,2486.027451,2502.493916,2568.555117,2605.802968,2682.066166,2779.6217,2875.883182,2998.522401,3038.270428,3036.416892,3081.787132,3213.781255,3272.074298,3337.899293,3414.274146,3448.628456,3445.477347,3461.6995,3463.302823,3459.136752,3284.97692
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085.487571,NA,NA,NA
AFW,2644.390213,2603.720983,2586.267711,2432.44032,2391.475595,2376.362839,2425.025401,2452.447133,2472.664227,2466.864245,2348.993675,2487.128008,2680.266531,2751.766523,2888.240358,2961.698672,3201.307033,3238.145737,3347.206449,3459.687378,3558.297898,3630.209039,3732.085798,3863.314792,4045.77669,4085.202395,3998.278977,3965.33366,3947.589002,3998.4524,3845.827829
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3690.604857,3900.710372,4659.954466,4684.384828,4929.945484,5390.699648,5672.126464,6359.181376,6490.787737,6999.175405,6911.740241,6885.53639,7280.845666,7478.104777,7704.231949,7652.656486,7189.426672,6861.575738,6381.521946,6082.746624,5734.985737
ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9955.158909,10152.38913,10642.62683,11056.51338,11146.9879,11553.05485,11692.64685,12015.6341,12485.26722,12804.36491,13310.44733,NA,NA
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11421.34333,11427.01415,11189.37738,11690.70541,12221.59265,12581.70516,12996.7195,13336.35509,13780.90187,13525.35013,13670.42903,14079.78891,14454.2528,14647.7617,14822.74049,15118.38962,15364.24574,15214.70632,15201.13345,15151.59783,14553.51219
ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103519.0537,96736.92556,97761.53732,98236.07759,92443.55639,88502.51225,79459.26304,69814.63137,59017.26106,54911.2224,56152.96846,57447.33833,60007.29395,62499.75036,65528.59087,66881.33906,67667.50846,67195.09523,67462.11602,NA
ARG,13596.5238,14802.73318,15939.36314,17131.21969,17873.31574,17090.30997,17781.32509,18982.9811,19425.42237,18534.19619,18178.89544,17151.83115,14726.59153,16055.8379,16057.17059,17269.58787,20124.06588,21866.52751,22550.52031,20876.94192,22726.5519,23946.29396,23515.83095,23851.36802,23047.14885,23465.83221,22696.22044,22996.57352,21895.98398,21152.84567,19158.28338
ARM,NA,NA,NA,NA,2752.634814,3097.518981,3334.652991,3596.478737,3778.666736,3923.733627,4178.364613,4602.415315,5264.761341,6031.824576,6753.702499,7747.377287,8881.542147,10262.02119,11125.68978,9428.74357,9745.371343,10072.83785,10830.49156,11351.59965,11518.84312,11774.61451,11570.56122,12543.27535,12951.66721,13893.84245,12424.54882
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18775.95078,NA,NA,NA
AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47163.24522,NA,NA,NA
AUT,37731.82947,38454.52273,38752.34797,38664.35086,39360.95235,40206.01062,41234.98111,41875.03447,43262.43831,44265.34672,45989.99937,46158.46079,47069.3801,47441.47653,48493.8555,49208.67102,50886.38098,52434.51057,53533.60174,50933.59434,52201.9028,53279.14182,53272.51692,53061.22163,52924.47936,52276.5357,53263.52548,53662.00535,54796.2613,56107.23023,NA
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13513.39727,NA,NA,NA
BDI,NA,NA,NA,NA,NA,NA,NA,828.9864418,862.6893416,838.8970676,840.888229,815.3949158,826.9496615,787.9544301,794.6123457,786.2207272,809.5529235,812.5069795,825.7337431,823.7437753,841.7400149,846.0294333,860.4779094,878.1187171,884.172209,824.8696219,794.5204667,772.4022889,763.4331718,753.9089436,735.7371044
BEL,35669.95261,36320.99321,36721.2366,36580.39884,37919.95912,38650.43945,39132.43001,40560.24728,41268.34074,42582.83012,44155.62575,44174.2042,44666.16539,45020.76623,46178.46584,46922.07392,47890.03093,49264.65678,49580.24633,47941.51374,48699.49031,48222.51582,49306.80924,49371.94353,49755.32531,50147.60626,50302.27529,50897.93398,51599.10585,52380.13768,NA
BEN,2133.210151,2158.402859,2103.089444,2189.507042,2150.324695,2209.397795,2234.511198,2306.682939,2345.937443,2404.362657,2469.91732,2523.018686,2554.028995,2561.774921,2598.742731,2574.887284,2595.968923,2669.77976,2735.152274,2715.078222,2689.895595,2704.030136,2743.557061,2861.120591,2962.296501,2922.065347,2935.45155,3010.902854,3128.724804,3254.245627,3288.470605
BFA,1015.88313,1078.160669,1051.259668,1056.093401,1039.962171,1072.985102,1166.44649,1201.965974,1254.007686,1311.95419,1296.347157,1339.958655,1351.334944,1412.417234,1437.377358,1513.465381,1571.942428,1587.868636,1628.486988,1613.550023,1667.855814,1705.309865,1788.748934,1834.827793,1827.30022,1839.21687,1893.099969,1967.634052,2026.523742,2081.918857,NA
BGD,1554.41105,1571.95081,1624.95314,1669.134671,1704.703214,1752.201722,1784.552632,1828.576381,1883.766462,1935.796364,2002.466767,2060.796157,2119.639046,2182.321491,2267.950353,2383.031073,2538.234965,2702.966271,2862.599524,2979.60677,3116.663201,3273.90474,3462.220186,3614.372724,3742.516573,3936.276588,4142.902911,4339.489843,4642.819664,4976.210294,NA
BGR,11197.86267,10205.23358,10329.61465,10252.5407,10457.25516,10724.71966,11245.54642,9744.700981,10338.65314,9577.667135,9984.442009,10826.5442,11925.08886,12589.28441,13448.14466,14400.86185,15098.89417,15434.49823,16920.48469,16699.60216,17092.23364,17410.02987,17905.58593,17908.78277,18597.03227,19018.3052,19871.98345,20867.69962,21502.30999,22810.60443,21824.70041
BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48245.60973,46688.04118,45252.0311,45686.40899,45911.57734,46319.98102,45894.28762,46240.60324,44570.19075,40302.74097,40338.60774,37755.99605,43372.15056,44935.818,45615.58247,45441.14762,45331.79071,45033.83054,43630.77884,42524.85053,NA
BHS,36312.85989,34112.50756,33095.71392,32148.81851,32570.49062,38699.79046,42583.66879,36703.69938,34513.19295,38779.16331,39812.45381,39984.80071,40464.35431,39431.31292,39160.48801,39604.2015,39751.71616,39526.79424,38598.7809,36053.95965,35840.87586,35676.43585,36663.28871,35584.0122,34294.84783,34186.04551,34237.08739,35250.28255,35017.50856,35802.16126,NA
BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10156.99743,10763.24207,11439.38183,11167.90918,11117.40949,11267.50286,11345.96256,11879.20582,12166.00805,12719.2028,13215.25449,13638.54551,14301.05839,14890.18778,14391.21794
BLR,8890.667795,8779.671769,7919.731329,7301.393461,6431.067838,5784.374599,5976.374861,6669.261506,7263.066714,7554.663753,8024.44356,8448.810687,8934.157325,9660.634099,10833.7804,11918.96752,13178.52197,14309.97993,15821.29941,15783.82216,16988.44145,17850.01602,18144.94395,18075.65225,18461.98225,17482.7014,17003.77083,17584.76622,18186.9606,18697.09163,18259.81291
BLZ,4743.738806,5186.035112,5673.919297,5904.43416,5722.488678,5653.414551,5530.156083,5560.409826,5485.395799,5709.716287,6172.076277,6175.420475,6314.876319,6622.610403,6631.325792,6639.21553,6783.177288,6482.864456,6581.731608,6801.778097,6626.208646,6807.61442,6727.462335,6678.127701,6747.272742,6961.24059,6766.385702,6709.03456,6609.418043,6694.222691,5582.162957
BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85191.65616,NA,NA,NA
BOL,4352.0213,4514.774914,4546.299027,4640.757949,4782.391571,4901.61557,5023.763061,5183.911658,5367.560993,5262.265325,5275.462994,5267.650678,5296.84768,5275.975297,5355.225277,5518.227024,5702.749964,5847.291126,6132.917287,6198.642664,6292.090086,6535.789324,6608.287067,6937.038043,7313.415073,7718.194003,8056.443084,8174.492977,8443.883867,8544.294101,NA
BRA,10254.17314,10261.30211,10074.38901,10315.75372,10544.94315,11087.75576,11019.85194,11160.76541,10889.91953,10697.77111,11279.41366,11240.23563,11415.26081,11423.91056,11962.88359,12212.19696,12605.81821,13284.63248,13778.06542,13653.35701,14414.12776,14925.8894,15088.38596,15584.11942,15454.76986,14780.05756,14143.58297,14253.07502,14258.48421,14367.23924,13790.71143
BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15079.36912,NA,NA,NA
BRN,71470.70351,71643.86864,72948.56166,71145.64019,71414.06748,72688.87079,72937.95042,70173.57333,68213.20878,68769.74397,69253.41325,69715.97775,71007.97255,71721.93127,70852.47614,70020.91017,72083.47726,71648.00123,69405.81476,67384.0493,67481.43261,67386.7062,67317.78769,66079.80508,64338.12601,66409.2109,65044.6337,64617.63812,60975.67907,63963.47534,NA
BTN,2698.718405,2599.48388,2642.129188,2750.879732,2971.473219,2998.570985,3170.261978,3366.830672,3245.932751,3323.786711,4053.157727,4302.483616,4608.968637,4838.875807,5038.640002,5371.756222,5733.828955,6647.081765,6796.0027,7084.940315,7717.739209,8178.567936,8355.07968,8517.616177,8895.819642,9371.448682,9850.669364,10174.70961,10330.22136,10760.68838,NA
BWA,8868.635533,9639.700314,9739.900325,10049.98141,9110.422255,9918.764554,9792.219042,10613.48126,10962.95138,10965.31872,10784.09977,11027.25817,10362.4327,11066.73315,10998.44568,11517.19913,12298.12506,13173.85848,13778.12757,12998.49829,13505.85846,14495.76816,15084.83883,16124.82363,16822.81491,16241.81957,15602.79405,15899.03795,16151.3303,16449.0978,14745.20011
CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168.897638,1218.180339,1259.221163,1317.845192,839.1221207,837.6309621,869.8259183,903.077833,959.3100891,NA,NA,NA
CAN,NA,NA,NA,NA,NA,NA,NA,32924.81342,33475.69997,34501.09773,36135.21116,36170.11928,37137.221,38237.8755,39490.69551,41128.41435,42630.74542,45202.7289,45157.90054,43246.88416,43961.04201,44934.96847,45291.17181,45977.91849,46782.79862,46798.97866,46884.61622,47702.63749,47969.55379,48377.36079,45315.56626
CEB,NA,NA,NA,NA,NA,13625.26792,14305.98985,14552.24575,14995.81242,15249.54678,15940.39934,16550.80243,17295.60677,17811.80576,18739.39201,19875.90015,21108.32328,22243.57958,23612.87168,22939.41114,23227.06878,23940.03668,24268.16559,24772.03583,25550.31827,26506.82406,27420.79166,28870.28319,30217.51849,31540.33572,NA
CHE,NA,NA,NA,NA,NA,55248.75448,55410.30505,57453.70889,59276.13576,60456.55828,63082.63156,62103.42511,60895.79338,62728.78453,63822.61885,66506.72477,68151.07985,65879.28189,62257.91876,65428.91214,69405.22901,66913.34035,67763.26037,68146.25784,67772.42852,69453.92541,68972.76621,67870.5778,69217.01741,71367.138,NA
CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,9442.158592,10022.59012,11053.65596,11664.03904,11940.57632,12868.66667,13619.41462,14453.47134,14994.83148,14669.49115,15180.19039,15535.57095,15770.80518,15914.53541,16483.92917,17117.07098,17150.82367,17993.39808,19296.42544,18968.09115,19725.05957,20956.21652,22200.84312,22808.42342,23269.53042,23732.75355,23787.76395,23458.6445,23901.31112,24075.79766,22283.13891
CHN,NA,NA,NA,NA,NA,2361.386405,2571.201087,2786.749614,2964.655607,3171.52702,3416.47983,3666.401734,3988.391845,4376.639542,4805.648574,5299.356968,5969.085316,6810.155283,7457.820411,8056.024971,8846.371406,9596.324386,10373.53655,11059.90966,11932.36579,12643.88194,13433.59207,14333.1332,15161.09616,16054.71577,NA
CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3512.208895,3539.665333,3526.888362,3291.878865,3575.939491,3756.812479,4056.681147,4322.056408,4512.459543,4686.900473,4839.893305,5074.644595,NA
CMR,3100.529634,2834.511327,2700.526797,2419.859543,2388.527939,2400.36173,2437.11032,2494.303036,2571.284909,2618.465506,2588.996056,2609.833624,2673.955053,2788.795249,2935.083289,2901.69133,2963.723568,2996.251159,3037.120499,3054.694247,3055.787124,3094.845806,3132.009451,3199.621163,3335.047722,3410.457537,3464.640588,3487.377112,3533.97871,3570.812981,3522.714424
COD,NA,NA,NA,NA,954.1440141,910.5367317,948.6689293,868.9220532,840.0708593,758.1421659,739.6979723,682.7499594,694.6300333,716.5878169,737.5945152,748.5058843,771.1909486,787.4313975,787.4350665,803.1129999,829.8803942,847.5124578,870.2607827,875.3420199,931.7592431,979.899827,1035.324504,1029.883308,1057.008767,1067.541505,1045.654873
COG,4375.059223,4408.538919,4512.706395,4133.583788,3905.189103,3171.350899,3195.995089,3481.410755,3804.828508,3179.113728,2977.741674,3232.126118,3291.658207,3192.953596,3048.230942,3435.93983,4021.182555,3634.479681,3799.933917,4441.336602,4637.951256,4477.498655,5054.995374,5079.535925,5509.325711,5082.271115,4309.587214,3646.989816,3267.792201,2983.872953,2991.430784
COL,7932.944811,7978.10337,8174.491427,8526.155476,8940.704796,9243.605272,9230.173156,9376.67989,9318.105849,8792.957642,8857.491016,8842.335356,8907.759821,9056.611403,9396.846305,9810.985796,10322.92782,10836.54882,11003.14727,11049.10573,11347.09602,11930.28127,12344.80751,12902.51207,13429.12013,13898.61234,14043.95868,13912.36437,13941.66975,14260.35637,13175.46467
COM,3055.134915,2807.815268,2987.990558,2976.93156,2733.400249,2757.075455,2643.4974,2676.236203,2635.651969,2621.912973,2835.226352,2833.279609,2819.701219,2809.279741,2793.377201,2807.43761,2815.050757,2781.470119,2813.153019,2835.601604,2874.53591,2921.369471,2940.241995,3004.90976,2999.136448,2970.772257,3003.504354,3049.006179,3084.814683,NA,NA
CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5895.209969,6177.304139,6028.950962,5928.474752,6119.907189,6087.399757,6106.201391,5970.961186,6035.221038,6251.540987,6413.999141,6703.113974,7019.151248,5909.419955
CRI,9498.353236,9652.247168,10292.74795,10757.84989,11101.23794,11231.84942,11161.3469,11489.94406,11912.5807,11948.44447,12063.29688,12261.3986,12477.12493,12815.12402,13245.74244,13648.01038,14576.07507,15614.38814,16243.13986,15662.59328,16319.34361,16812.51625,17458.44,17595.16751,17920.15206,18328.75456,18903.51839,19283.51036,19462.66558,19585.78805,18551.57251
CSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25693.77016,NA,NA,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46721.74585,NA,NA,NA
CYP,25138.64206,24693.88914,26272.6382,25856.59956,26789.90745,27274.36779,27238.62761,27380.14971,31254.03106,29694.20151,30196.36456,31513.90291,33039.74068,33850.55309,34489.33817,35842.55937,36789.59672,37492.33542,39841.30707,38529.50225,37850.04975,38566.21255,35490.5045,33079.45137,32340.96162,34262.77517,35061.37878,36808.58968,38052.21389,38627.55277,36067.55696
CZE,NA,NA,20979.81107,20928.76775,21533.0343,NA,NA,NA,NA,NA,NA,NA,NA,NA,27146.66659,28955.75209,30337.11954,31756.58621,32480.67588,30501.30523,30989.17931,31301.19798,31561.41049,31545.24187,32021.62793,33678.65317,34495.43398,36626.68558,37675.52976,38195.12587,NA
DEU,37237.8287,38649.78609,39036.01438,38336.03424,38857.66119,39251.82435,39513.85112,40080.62458,40724.14704,41415.28306,42622.59196,43205.82925,42890.90131,42584.29418,43802.94773,44244.12317,46374.63094,47708.1164,48016.74352,45990.95319,47863.24236,50934.48165,50971.63828,51017.53857,51775.80843,52245.21044,53092.96138,54209.17908,54907.47856,55096.66595,52382.81921
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4118.56871,4426.675645,4730.509798,4981.83731,5103.055824,5375.675445,NA,NA
DMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11343.52983,NA,NA,NA
DNK,37930.23837,38299.43054,39007.06848,39072.20133,41068.65151,42277.20618,43189.09821,44478.32458,45472.65911,46826.20887,47842.31045,48441.93979,48619.96452,48841.73281,50509.88887,51891.16222,53953.00265,53832.94619,53564.02034,50606.3016,51653.70093,52360.19737,52360.49952,53098.62772,53941.2501,54520.04011,55515.41694,56568.41589,57829.01015,59369.77048,57599.24463
DOM,5941.065938,5917.782034,6453.482482,6690.139357,6784.885218,7048.243521,7397.389439,7919.734845,8299.853678,8632.926096,8917.383134,8998.862406,9273.289374,8803.884372,8739.67852,9742.487438,10546.32662,11175.89734,11557.87602,11518.0918,12327.3468,12529.5448,12707.22497,13067.09635,13814.06229,14694.1036,15462.20861,15941.67145,16958.43305,17572.69314,16164.89952
DZA,8512.050254,8094.451179,8122.895858,7836.71649,7575.959919,7662.253792,7826.216484,7829.823842,8142.199734,8252.063062,8391.639382,8645.5936,8959.012615,9469.532377,9719.063346,10049.58789,10128.38944,10552.62877,10700.11119,10672.10456,10921.46238,10941.3485,11000.60341,11057.66165,11247.57672,11413.75977,11706.22217,11558.63139,11354.16521,11229.7953,10451.98507
EAP,NA,NA,NA,NA,NA,2549.559788,2762.281776,2974.579115,3123.387654,3311.763959,3547.304319,3768.629337,4061.985855,4417.168164,4814.754436,5245.435656,5839.482516,6580.544351,7142.435625,7615.997661,8332.026304,8949.634811,9590.130508,10172.85482,10877.10451,11477.81727,12139.66592,12876.61902,13579.12418,14317.12276,NA
EAR,4428.387743,4490.131261,4592.355622,4673.982088,4735.53096,4766.794178,4962.640444,5115.94072,5246.068689,5320.119878,5434.560675,5409.27625,5425.415843,5645.674682,5897.348077,6151.458078,6463.338012,6748.344865,6865.383048,6845.959265,7171.104468,7463.595193,7645.386903,7888.4861,8159.285711,8465.713138,8765.471247,9086.231287,9321.449372,9433.137433,8866.187786
