ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,31620,30140,27760,29550,31950,27060,33630,31230,35670,32360,30710,31000,32030,34260,35090,35190,35660,36300,NA,NA
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,1710,1700,1920,2020,2070,2110,2150,2230,2260,2330
AGO,2780,2890,3370,3450,3760,4290,4710,5320,5560,5820,5950,6130,6810,7130,7680,6960,6730,6860,6550,6390
ALB,3980,4460,4800,5150,5560,5990,6750,7480,8260,8680,9540,10210,10450,10750,11360,11800,12200,13070,13820,14350
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,103160,101460,96350,99190,102360,99230,97720,89930,80690,68870,64860,67710,69160,70460,73740,65220,64340,67670,68780,70240
ARG,11310,10900,9540,10580,10860,12030,14460,16130,16970,15830,17440,18770,19150,19650,19250,19700,19860,22960,22450,22060
ARM,2740,3090,3580,4180,4810,5680,6720,7960,8790,7530,7880,8310,9740,10440,10490,10370,10950,12540,13180,14460
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,16010,15680,15540,16670,17800,19420,22230,24560,24510,21440,20110,19720,18950,18180,18070,17880,18410,18920,20510,21500
AUS,25560,26590,27940,28890,30410,31360,32950,34920,35930,38890,37770,40280,41520,44760,45650,45330,46230,47580,49440,51560
AUT,29130,29310,31000,32030,33700,34940,37700,39350,41660,40940,42390,44600,46500,48050,48860,49390,52630,54150,56720,59060
AZE,3220,3590,3970,4430,4820,6000,8190,10120,11780,13120,13950,13710,14980,16230,16850,14370,13430,13510,13790,14360
BDI,540,530,550,530,550,560,590,610,630,640,660,680,690,740,780,840,800,770,780,780
BEL,28510,29340,30810,31490,32480,33590,35720,37260,38800,38490,40480,41010,43270,44750,45870,46870,49090,51320,52620,54730
BEN,1750,1830,1880,1920,2000,2050,2130,2250,2350,2350,2350,2410,2480,2650,2820,2860,2980,3010,3200,3390
BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1640,1770,1980,2120,2220
BGD,1370,1450,1510,1590,1690,1830,2010,2200,2380,2490,2640,2830,3190,3400,3590,3790,4070,4340,4750,5190
BGR,6270,6970,7950,8540,9300,10320,11110,11860,13650,13730,14560,15170,16020,16220,17400,17770,19270,20850,22810,23880
BHR,41140,40590,39640,40950,42250,44230,45240,46880,46130,41630,42550,41180,49020,49600,48600,43140,42300,44970,44720,44140
BHS,27550,28270,29110,28860,29410,30690,31710,32400,32190,30300,30460,30940,31880,31750,31260,32390,32920,34260,34340,35760
BIH,5040,5190,5530,5720,6500,6750,7630,8430,9360,9390,9510,10060,10380,11160,11530,12100,13010,13740,14890,15770
BLR,5780,6220,6690,7370,8490,9630,10970,12220,13780,13830,15050,16170,17660,18260,18360,17240,16900,17580,18640,19340
BLZ,5210,5320,5530,5880,6030,6220,6550,6430,6630,6930,6800,7170,6700,6680,6560,6840,6740,6510,6580,6630
BMU,NA,NA,NA,NA,NA,NA,NA,84100,83750,76640,77120,76250,74050,75620,NA,NA,NA,NA,NA,NA
BOL,3350,3410,3490,3540,3690,3930,4180,4400,4710,4790,4940,5200,5570,6210,6690,6890,7360,8190,8650,8910
BRA,8800,8960,9250,9420,10140,10670,11350,12280,12990,12980,13860,14650,14670,15370,15430,14470,13950,14250,14520,14850
BRB,12310,12180,12390,12810,13400,14140,15120,16140,16310,15680,15730,15250,14740,14700,14540,14810,15220,15080,15320,15730
BRN,66440,68350,70720,72760,73810,75210,79770,81430,80340,78680,79690,81680,86130,82860,81300,65690,60420,64620,62200,66410
BTN,2690,2920,3180,3400,3640,4000,4390,5230,5450,5730,6310,6830,7280,7430,8050,8820,9560,10170,10570,NA
BWA,8250,8610,8150,8860,9060,9830,10850,11920,12630,12080,12680,13940,13390,14070,15830,15060,15860,15980,16680,17110
CAF,660,700,720,680,720,740,780,830,840,910,960,1020,1110,750,730,800,860,960,1030,1060
CAN,28590,29360,30180,31540,33180,35580,37500,38970,39780,38220,39320,40880,41540,43620,45010,43990,45910,48070,49430,50810
CHE,38140,38240,38720,40190,41600,43980,48460,50050,49150,52790,56230,56830,59140,61380,62170,65450,66080,67890,70130,72390
CHL,9220,9640,9930,10180,10840,11640,13840,15050,15220,15060,16880,19110,20490,21300,21910,22000,22000,22690,23700,24140
CHN,2890,3160,3500,3910,4410,5020,5830,6830,7620,8290,9210,10200,11170,11830,12570,12930,13520,14330,15550,16740
CIV,2080,2030,1960,1870,2000,2210,2260,2310,2370,2410,2430,2310,2540,2700,3050,4550,4620,4690,4980,5290
CMR,1830,1880,1960,2080,2250,2290,2410,2500,2590,2620,2650,2750,2810,2950,3160,3210,3350,3490,3610,3730
COD,440,410,430,450,470,500,530,550,560,580,610,640,630,690,780,840,940,1030,1080,1110
COG,2430,2500,2640,2690,2560,2690,2840,2890,3230,3330,3670,3720,3770,3740,3890,3300,3150,3130,3090,3060
COL,6550,6670,6830,7070,7540,8120,8800,9490,9830,9940,10340,11110,11560,12280,12910,13080,13800,14050,14590,15150
COM,1800,1840,1860,1890,1930,2000,2070,2100,2160,2190,2250,2340,2510,2640,2720,2720,2880,3050,3160,3220
CPV,2960,3080,3200,3360,3740,4010,4380,5210,5560,5470,5440,5730,5570,5590,5460,5770,6100,6410,6860,7310
CRI,7480,7770,8020,8380,8890,9430,10360,11400,12080,11730,12310,12930,13640,14100,14960,15860,17230,18160,18790,19250
CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUW,NA,NA,NA,NA,NA,25350,25930,26750,26940,26440,26790,27060,25800,25470,25120,25070,24680,25690,25860,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59910,61840,42520,37500,36380,38100,39910,41640,NA,NA
CYP,19470,21240,22340,23260,24460,26320,28320,30740,34260,33820,32970,34190,31610,30020,29240,31510,33970,36620,38340,39830
CZE,15900,17080,17560,18780,19840,20970,22330,24450,26040,25670,25640,26620,27250,28670,30090,31420,33550,36120,38180,40660
DEU,27060,28180,28870,29570,31490,32060,34700,36780,38160,37680,39760,43630,44400,46040,47950,48770,51810,54370,55980,57690
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4210,4490,4850,4950,5100,5520,5980
DMA,5750,6160,6000,6510,6780,7100,7980,8630,9490,9570,9830,9980,9570,9860,10560,10690,11630,11050,11830,12460
DNK,28020,29020,30260,30510,32950,34430,37740,39160,41740,40770,43740,45340,45820,48210,49640,50560,53250,56230,58700,61410
DOM,6480,6680,6990,6770,6920,7920,8830,9600,10110,10160,11000,11410,11430,11890,12820,14130,15420,15940,17310,18280
DZA,8030,8520,8940,9660,10160,10840,11310,12130,12550,12600,13060,13360,13060,12780,12710,11700,11510,11370,11450,11530
ECU,5450,5790,6050,6210,6760,7270,7720,7970,8640,8640,8950,9700,10160,10990,11540,10870,10830,11360,11520,11500
EGY,5820,6050,6190,6370,6690,7010,7640,8290,8890,9140,9330,9550,10820,10970,10640,11310,11040,10800,11340,11810
ERI,1530,1630,1630,1540,1530,1560,1550,1570,1410,1450,1470,1610,NA,NA,NA,NA,NA,NA,NA,NA
ESP,21440,22640,24100,24810,25880,27230,30120,31640,32340,31510,31240,31310,31470,32220,33400,34900,37370,39570,40570,42300
EST,9070,9810,11050,12360,13710,15870,18250,20450,21640,19990,20650,23530,25110,26980,28310,28750,30530,33020,35680,38010
ETH,480,520,520,500,570,640,710,790,870,930,1020,1130,1210,1280,1510,1650,1870,2010,2140,2300
FIN,26630,27800,28690,28850,31390,32190,34730,37910,40150,38480,39490,41070,41060,41660,42180,42930,45160,47490,49550,51210
FJI,5950,6010,6400,6520,7040,7380,7280,7460,7590,7620,7670,8010,8510,9350,10820,11870,12100,12610,13170,13260
FRA,26510,28000,28820,28520,29440,31020,33080,34760,35860,35510,36760,38440,38500,40410,41010,41740,43830,45850,47500,50390
FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,2550,2660,2710,2800,2830,3010,3120,3190,3160,3340,3380,3530,3550,3540,3470,3980,3940,3970,3640,NA
GAB,11850,12350,12710,12640,12120,13280,12470,12960,12500,12570,12890,13490,13820,13650,14570,13480,13180,14060,14100,14420
GBR,26510,27960,29440,30650,32300,33110,34800,35430,36320,34770,36390,37310,37910,39160,40420,41550,43100,45430,46240,48040
GEO,3140,3400,3660,4170,4610,5220,5980,6830,7100,6960,7430,8120,9720,10420,11420,11820,12260,12920,14030,15020
GHA,1740,1810,1880,1960,2080,2220,2380,2490,2700,2780,2920,3270,3590,5150,5280,5050,4800,4860,5210,5510
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,1200,1240,1320,1280,1320,1350,1460,1560,1620,1560,1640,1710,1770,1720,1750,1790,2050,2410,2410,2520
GMB,1810,1900,1790,1920,2100,2050,2030,2090,2210,2300,2390,2170,2150,2080,1980,2020,2030,2030,2160,2260
GNB,1040,1050,1060,1060,1090,1150,1190,1240,1260,1280,1330,1450,1360,1340,1430,1640,1790,1930,1990,2220
GNQ,5890,6420,8230,7840,9850,14200,23340,26790,28460,24770,19350,22180,24910,23770,22910,18130,15850,16600,15740,14600
GRC,19660,21120,22610,23800,25140,25620,27990,28540,29940,29710,27590,25430,25450,26070,27020,26940,27820,29150,30190,31350
GRD,7150,7010,7270,8110,8030,10070,9930,10650,10960,9950,10300,10660,10690,11470,11860,12530,13650,14710,15560,16250
GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,4780,4920,5020,5130,5310,5530,5860,6260,6480,6420,6550,6810,7160,7270,7560,8000,8040,8140,8470,8850
GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,4030,4190,4300,4400,4640,4730,5360,5840,5990,6250,6480,6940,7380,7830,8240,8430,8710,8780,9290,9900
HKG,28480,29490,29820,31960,35250,38260,42680,46640,49530,47250,50230,53710,52990,54710,55910,57450,58660,62450,65490,65600
HND,2510,2560,2620,2700,2850,3060,3280,3550,3670,3510,3570,3710,3760,3840,4090,4490,4790,5220,5350,5510
HRV,10410,11370,12430,13100,14280,14940,16980,18910,20100,19270,19100,20060,20420,21330,21600,22870,23980,26200,27630,29520
HTI,1410,1400,1390,1400,1360,1400,1470,1530,1550,1590,1530,1630,1600,1690,1730,1710,1770,1770,1820,1790
HUN,11170,12450,13700,14640,15240,16000,17240,17660,19330,19790,20610,21790,22180,23800,24500,25460,26990,28340,30310,32750
IDN,4430,4770,5040,5260,5550,5950,6420,6930,7440,7740,8280,8840,9440,9770,9930,9910,10160,10590,11310,11930
IMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,2070,2190,2270,2450,2680,2930,3210,3510,3630,3890,4190,4450,4800,4990,5170,5400,5720,6120,6580,6960
IRL,26310,27800,29520,31240,33370,35020,38760,40430,38350,34820,36300,36370,37290,40410,43110,53080,58660,62040,66250,68050
IRN,10300,10490,11310,12370,13050,13720,14710,16190,16380,16430,17390,18010,16060,15380,15280,13620,14060,14560,NA,NA
IRQ,9530,9660,8780,5930,9150,8740,10120,10580,12200,12460,12860,13500,15240,15470,14190,10300,9810,10890,10830,11280
ISL,28680,30820,32660,32400,34320,35470,36300,38750,34050,33620,32190,34550,36690,42100,43500,46480,50990,54380,55920,61170
ISR,23370,23890,24310,22960,24470,24620,25560,27420,26900,26830,28290,30130,30880,33450,34010,35130,37500,38570,40280,42140
ITA,26980,27960,28610,29020,29480,30180,32540,34130,35200,34610,35110,36510,36440,36250,36200,36650,40040,42010,43280,44580
JAM,6110,6220,6300,6640,6880,7100,7550,7830,7960,7530,7600,7870,8080,8240,8360,8520,8800,9320,9510,9770
JOR,5930,6300,6580,6870,7510,8110,8720,9360,9620,9700,9310,9230,9000,9120,8950,9230,9210,9790,10040,10240
JPN,27220,27890,28560,29380,30920,32350,33960,35540,35710,34010,35890,36790,38190,40280,40590,41950,41320,42320,42840,44780
KAZ,7250,8540,9620,10540,11650,12580,13910,15240,15460,16030,16710,17790,19050,21900,22190,21760,21490,22160,22930,24050
KEN,1600,1650,1650,1680,1760,1890,2010,2140,2140,2160,2300,2440,2520,2740,2980,3320,3580,3970,4230,4420
KGZ,1750,1910,1930,2090,2230,2300,2460,2730,2910,2980,2890,2950,3530,3810,4100,4050,4440,4800,5090,5070
KHM,1040,1120,1180,1290,1440,1640,1850,2080,2220,2200,2320,2490,2720,2920,3020,3180,3450,3680,3970,4180
KIR,2570,2710,2600,2500,2400,2470,2470,2570,2560,2410,2510,2430,2780,3160,3610,4340,3940,4290,4270,4650
KNA,15170,16110,16490,15780,16950,19220,20000,20580,22070,21160,21250,21940,20850,21770,22180,22240,23420,24090,25040,25920
KOR,18430,19560,21320,22000,23740,25010,26800,28990,29950,29600,31790,32750,33910,34460,35500,38030,39710,41170,42250,43430
KWT,66160,63810,62670,72850,82310,91130,98230,101360,96660,85180,79390,82840,88710,84000,76440,53350,52090,59260,59720,NA
LAO,1760,1870,1990,2070,2270,2510,2670,2970,3170,3440,3580,3870,4550,5000,5610,5890,6550,6870,7410,7960
LBN,9120,9110,8750,7670,9300,9860,10350,11870,13010,14010,14760,14580,14750,14880,14870,14910,15240,15940,15890,15260
LBR,880,830,850,580,610,660,740,820,880,910,930,1040,1060,1210,1240,1180,1260,1380,1330,1320
LBY,NA,NA,17880,20410,20960,23840,26360,28240,29030,28690,29880,11500,23710,19740,14510,12740,11430,13690,15640,16090
LCA,8330,8030,8230,8600,9290,9450,11120,11360,12000,11810,12080,13090,12770,13180,12920,12390,13410,14140,14680,15140
LIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,4270,4270,4480,4820,5170,5610,6170,6730,7140,7470,8110,8920,10130,10600,11000,11270,11900,12250,12810,13230
LSO,1600,1920,1970,2090,2100,2140,2210,2650,2820,2800,2870,2930,2880,3120,3320,3480,3460,3150,3200,3290
LTU,8310,9320,10380,11770,12780,14330,16170,18380,20040,18500,19920,22150,23870,26090,27820,27780,29790,32560,34680,37010
LUX,49060,50290,49690,48960,58650,63000,63440,72690,71610,55770,61800,63530,63710,63840,67290,67590,70450,72750,74400,77570
LVA,8010,9050,10070,10960,11950,13690,15350,17580,19220,18120,17780,19770,21140,22640,23770,24690,26340,28360,30220,31770
MAC,32040,35680,38470,42010,51480,55420,60730,77400,71760,72610,88440,104120,113650,129400,132020,107640,107330,116080,123290,NA
MAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,3510,3810,3950,4220,4510,4770,5220,5500,5870,6020,6240,6600,6570,6820,6450,6890,6980,7170,7450,7680
MCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,3140,3570,4020,4470,5040,5600,5960,6180,6840,6250,6860,7390,8050,9170,9590,9790,11200,12320,13280,NA
MDG,1270,1340,1150,1250,1320,1370,1440,1550,1640,1530,1510,1530,1490,1490,1520,1500,1550,1540,1600,1660
MDV,8060,7880,8380,9350,9970,8700,11040,10410,11690,10800,11180,12110,12400,13140,14460,15410,16010,16560,17190,17880
MEX,10850,10920,10990,11280,11910,12390,13600,14050,14710,14310,15080,16260,16830,16870,17630,17830,18810,19300,19870,19810
MHL,3250,3480,3510,3460,3540,3710,3740,3930,3710,3780,3970,3980,3780,4080,4290,4730,4690,4860,5090,NA
MKD,6010,5980,6230,6420,7040,7620,8550,8810,10290,10850,11120,11400,11580,12350,13120,13400,14390,14910,15820,17110
MLI,1120,1240,1240,1370,1390,1480,1540,1580,1640,1650,1720,1760,1700,1750,1860,1990,2130,2180,2270,2360
MLT,19020,19800,20670,20830,21350,21520,22380,24110,25530,24380,26370,27670,28230,29720,32090,34160,35470,37830,39900,41690
MMR,920,1040,1170,1340,1550,1800,2080,2380,2660,2940,3240,3470,3580,3890,4080,4280,4370,4600,4970,5160
MNE,6310,7110,7500,7760,8240,8410,10620,12590,14020,13060,13550,14580,14100,15160,15570,16700,18240,20030,21480,23070
MNG,3710,3880,4080,4390,4940,5310,5910,6540,7090,6860,6970,8180,9440,9950,10160,9880,9860,9720,10950,11370
MNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,460,510,510,590,630,670,710,780,830,890,930,1010,1030,1080,1130,1270,1330,1250,1290,1300
MRT,3070,2940,3100,3280,3420,3700,4210,4140,4120,4100,4040,4120,4140,4350,4130,4080,4610,5000,5130,5350
MUS,9000,9490,9720,10330,11030,11520,12500,13780,14600,14990,15560,16340,17570,19240,19920,20860,22390,23540,24970,26410
MWI,670,640,640,670,710,740,780,860,910,960,1010,1050,1010,1080,1050,980,1020,1010,1040,1080
MYS,11870,12030,12720,13600,14650,15730,17040,18390,19110,18810,19860,21190,22140,22690,23790,24130,24840,25900,27180,28680
NAM,5270,5320,5670,6140,6710,6790,7420,7650,7880,7800,8060,8590,8970,9680,10340,10560,10170,9870,9850,9750
NCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,770,810,830,840,840,890,940,960,1010,990,1050,1050,1130,1100,1120,1130,1120,1140,1210,1250
NGA,2090,2290,2590,2730,2990,3180,3610,3750,3970,4180,4450,4650,4740,4970,5320,5280,5120,5030,5030,5170
NIC,2670,2750,2800,2890,3090,3310,3480,3720,3870,3700,3870,4140,4300,4470,4810,5150,5540,5850,5690,5490
NLD,32450,33040,34350,34480,35980,37110,41280,43870,45110,44160,45210,47250,48080,49910,49110,50340,51510,55770,58140,59890
NOR,36480,37820,38070,38770,42570,48300,54110,55720,61480,55790,58630,62730,65990,67770,68100,63030,61840,65730,70530,69610
NPL,1190,1250,1250,1300,1380,1460,1540,1620,1740,1820,1910,2010,2190,2370,2640,2680,2620,3140,3350,3600
NRU,NA,NA,NA,NA,NA,NA,NA,4930,5490,6320,7200,8160,8980,11650,13390,14970,14930,14950,15770,17790
NZL,20300,21360,22130,22830,23670,24020,25900,27290,27700,29440,29700,31250,31610,34790,35760,36210,38630,39330,40550,42710
OMN,34940,36950,35890,35650,36540,36890,36270,41210,42960,43260,44510,40820,42020,40550,36710,30470,28110,27890,27320,28590
PAK,2600,2680,2770,2980,3190,3420,3650,3830,3890,3970,4040,4170,4230,4320,4480,4640,4680,4820,5110,5210
PAN,8040,8060,8490,8580,9150,9780,10740,12300,13510,13640,13960,15990,17410,19480,20900,23700,25840,28610,29380,30600
PER,4930,5040,5310,5520,5780,6200,6680,7410,8250,8390,9020,9700,10090,10710,10990,11180,11520,11930,12440,12760
PHL,3760,3890,4010,4200,4500,4800,5090,5460,5730,5880,6260,6500,6990,7390,7760,8010,8560,9020,9650,10200
PLW,11050,11930,12380,11830,12490,14020,14350,15500,15060,14330,14740,16020,16540,16390,17300,19470,19640,18770,19500,NA
PNG,2000,1970,1970,1950,2050,2230,2250,2490,2520,2590,2820,2780,3040,3050,3700,4010,4160,4270,4220,4470
POL,10610,11070,11720,12120,12920,13660,14830,16280,17970,18720,20380,22110,23090,23970,24750,25940,27110,28930,30520,32710
PRI,15410,15840,16040,16470,18700,19180,19830,20690,20590,20160,20210,20840,21840,22320,22620,22900,23040,22940,23460,24240
PRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,18580,19200,20050,20620,21190,22420,23950,24970,25770,25600,26410,26340,25810,27560,28150,28870,30840,32310,33490,35600
PRY,5820,5890,6040,5850,6260,6530,7180,8020,8680,8580,9520,10130,9590,10640,11010,11040,11550,12200,12710,12730
PSE,2980,2610,2220,2510,2750,3120,3050,3300,3470,3610,3820,4300,4980,5170,5590,6130,6270,6550,6740,NA
PYF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,89190,95060,98680,100940,105810,95760,114330,116350,117680,110640,118390,128340,132440,131020,123250,90920,82490,94820,94840,94170
ROU,5810,6490,7090,7380,8600,9320,11160,13240,16410,16440,16780,17680,18600,19510,20530,21400,23850,26810,28680,31860
RUS,6650,7260,7880,8970,10010,11540,14480,16280,19600,18760,19860,22130,23560,25170,24910,23420,23450,25310,28040,28270
RWA,630,670,750,770,830,930,1020,1110,1220,1270,1350,1450,1480,1520,1680,1770,1850,1910,2070,2240
SAU,40070,39620,37930,41580,44900,47550,49050,50150,52960,50940,52220,56940,58220,56920,56940,49900,46590,48040,49160,49400
SDN,1740,1850,1950,2060,2130,2290,2370,2760,2860,2960,2950,3430,3950,3990,4670,4970,4340,4200,3950,3990
SEN,1860,1940,1930,2060,2190,2320,2390,2510,2600,2580,2640,2640,2720,2700,2780,2910,3000,3110,3310,3440
SGP,43570,42850,44220,47460,51020,55400,62180,66820,65090,62720,74480,77300,78420,78530,81490,81040,83730,87740,90450,92020
SLB,1450,1330,1260,1340,1430,1500,1630,1610,1570,1260,1340,1490,1880,2030,2080,2170,2150,2230,2320,2350
SLE,670,620,770,820,860,890,930,1070,1150,1180,1150,1190,1450,1740,1750,1570,1420,1590,1580,1670
SLV,4350,4460,4550,4650,4790,5050,5440,5670,5930,5770,5950,6270,6280,6570,6900,7240,7620,7980,8320,8700
SMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,6020,6490,7200,7590,8410,9070,10070,11010,12300,12350,12530,13450,13480,14060,14100,14230,14870,15450,16670,17960
SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,1460,1980,1280,NA,NA,NA,NA,NA
STP,NA,1770,1810,1950,2030,2200,2520,2620,2720,2730,2890,3010,2900,3350,3880,3830,3900,3900,4060,4090
SUR,7340,7240,8020,8590,9430,10220,10980,11950,12630,12900,13220,13620,15180,16390,17030,16030,13450,14340,15100,15200
SVK,11340,12400,13280,13480,14630,16220,18370,20610,23320,22980,24650,25150,26480,27760,28670,29200,28880,30270,32050,33680
SVN,17960,18940,20060,20860,22420,23630,25370,26910,28830,27110,27480,28540,28590,29570,30590,30660,33010,35990,38140,40070
SWE,29480,29790,30840,32120,33800,34500,38410,41810,43430,41130,43360,45420,46340,47180,48040,49370,50720,53590,54740,57300
SWZ,4810,5160,5110,5280,5710,6560,6770,7270,7320,7300,7380,8010,8230,8790,8820,8930,8290,8000,8070,7940
SXM,NA,NA,NA,NA,NA,NA,NA,NA,NA,31440,32950,35840,31810,31760,31580,30970,31260,31340,NA,NA
SYC,13540,13840,12820,12930,13940,15590,17200,17880,17210,17380,18350,19500,20350,21200,22430,22610,23720,25220,27310,29300
SYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21620,22900,24330,25040,26210,NA
TCD,760,830,870,840,1120,1310,1300,1370,1350,1570,1760,1750,1690,1500,1600,1760,1630,1570,1590,1620
TGO,950,960,990,1050,1040,990,1020,1010,1050,1090,1140,1280,1230,1280,1340,1440,1470,1520,1590,1670
THA,7160,7430,7890,8500,9190,9800,10610,11470,11800,11760,12640,13190,14190,14420,14680,15010,15840,16640,17620,18520
TJK,1000,1100,1240,1360,1540,1960,2250,2540,2780,2640,2880,3180,3510,3980,4090,3570,3620,3610,3850,4100
TKM,4120,4420,4450,4680,4980,5420,6190,7210,8100,8460,8990,10200,10920,11630,12280,12890,13500,13620,14560,NA
TLS,1780,1960,2220,1790,2060,2530,3840,5400,8350,6270,7410,9080,8700,7390,6270,5110,4240,4490,4520,4730
TON,3650,3840,4110,4210,4300,4410,4550,4470,4650,4810,5050,5300,5500,5450,5610,5910,6130,6420,6510,NA
TTO,13430,14490,15950,18360,20910,22320,25850,27890,29280,27810,29040,27460,27390,28330,27850,27250,25770,26500,26140,26950
TUN,5710,6030,6160,6540,7060,7390,7980,8580,8980,9330,9680,9590,9790,9780,10070,9890,10060,10270,10640,10800
TUR,9450,8990,9150,9430,10710,11760,13470,14710,15890,15320,17290,19480,20460,22070,23760,25340,26050,27570,27700,27410
TUV,NA,4730,5830,4050,4460,4400,4410,5150,5120,5250,4680,4740,4050,5020,4420,5680,5660,5580,6090,6170
TZA,1180,1230,1320,1390,1490,1600,1730,1830,1920,1980,2050,2190,2070,2160,2210,2300,2420,2470,2570,2700
UGA,1120,1160,1250,1310,1390,1470,1630,1770,1900,1980,2050,2220,1960,1960,2030,2080,2040,2030,2110,2210
UKR,3980,4550,4930,5560,6460,6900,7650,8600,8980,7660,8120,8700,9190,10510,10620,10210,11320,12140,12950,13750
URY,10230,10030,9480,9290,10000,11250,12130,13250,14320,14960,16190,17390,16880,18110,18820,19310,19650,20060,20570,21120
USA,36800,37700,38430,39740,42060,44570,47160,48280,48290,46940,48900,50820,53120,54360,56730,58340,58970,61020,63780,65880
UZB,2450,2570,2690,2840,3120,3410,3710,4310,4790,4970,5140,5510,5730,5970,6250,6450,6530,6650,7120,7400
VCT,5920,6210,6700,7250,7680,8130,9130,9800,10150,10170,9960,10110,10400,10850,10850,11360,12370,12160,12630,12880
VEN,11610,11980,10750,9960,11830,13450,15140,16930,17760,16900,16530,17080,NA,NA,NA,NA,NA,NA,NA,NA
VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,2120,2280,2430,2620,2880,2910,3160,3420,3650,3450,4050,4330,4840,5130,5470,5790,6300,6620,7220,7750
VUT,2140,2130,1950,2010,2080,2170,2420,2540,2840,2790,2790,2820,2750,2940,3020,2960,3000,3080,3230,3310
WSM,NA,NA,3720,3920,4210,4460,4680,5100,5210,5040,5200,5440,5290,5310,5350,5710,6190,6290,6240,6490
YEM,2720,2840,2890,2930,3010,3190,3410,3520,3590,3750,3920,3350,3340,3520,NA,NA,NA,NA,NA,NA
ZAF,7540,7740,8110,8380,8960,9600,10320,10870,11300,11150,11470,11860,11730,12120,12190,12240,12240,12320,12520,12630
ZMB,1570,1660,1720,1840,1900,2020,2150,2280,2530,2850,2970,3160,3360,3430,3470,3360,3300,3330,3550,3580
ZWE,2190,2270,2110,1780,1710,1650,1620,1580,1290,1330,1610,1800,2070,2310,2360,2410,2560,2760,2990,2730
